
 param nb_n := 15; #number of nodes


 set A:= 
	 1 6
	 6 1
	 1 7
	 7 1
	 1 8
	 8 1
	 2 3
	 3 2
	 2 5
	 5 2
	 2 6
	 6 2
	 3 5
	 5 3
	 3 8
	 8 3
	 4 5
	 5 4
	 4 6
	 6 4
	 6 13
	 13 6
	 7 10
	 10 7
	 7 14
	 14 7
	 8 9
	 9 8
	 8 15
	 15 8
	 9 10
	 10 9
	 9 12
	 12 9
	 9 15
	 15 9
	 10 12
	 12 10
	 11 13
	 13 11
	 11 14
	 14 11
	 13 14
	 14 13
;

 param uu:= 430;

 param nb_d:= 210; # number of demands

 param : o d := 
	 1 	 1 	 60
	 2 	 1 	 9
	 3 	 1 	 6
	 4 	 1 	 5
	 5 	 1 	 16
	 6 	 1 	 5
	 7 	 1 	 6
	 8 	 1 	 5
	 9 	 1 	 6
	 10 	 1 	 3
	 11 	 1 	 7
	 12 	 1 	 4
	 13 	 1 	 16
	 14 	 1 	 7
	 15 	 1 	 72
	 16 	 2 	 27
	 17 	 2 	 23
	 18 	 2 	 8
	 19 	 2 	 62
	 20 	 2 	 19
	 21 	 2 	 50
	 22 	 2 	 3
	 23 	 2 	 20
	 24 	 2 	 8
	 25 	 2 	 11
	 26 	 2 	 6
	 27 	 2 	 5
	 28 	 2 	 19
	 29 	 1 	 10
	 30 	 2 	 32
	 31 	 3 	 4
	 32 	 3 	 3
	 33 	 3 	 3
	 34 	 3 	 1
	 35 	 3 	 12
	 36 	 3 	 1
	 37 	 3 	 1
	 38 	 3 	 1
	 39 	 3 	 2
	 40 	 3 	 1
	 41 	 3 	 1
	 42 	 3 	 5
	 43 	 1 	 7
	 44 	 2 	 27
	 45 	 3 	 4
	 46 	 4 	 10
	 47 	 4 	 10
	 48 	 4 	 1
	 49 	 4 	 2
	 50 	 4 	 1
	 51 	 4 	 3
	 52 	 4 	 2
	 53 	 4 	 2
	 54 	 4 	 16
	 55 	 4 	 2
	 56 	 4 	 2
	 57 	 1 	 6
	 58 	 2 	 10
	 59 	 3 	 3
	 60 	 4 	 12
	 61 	 5 	 1
	 62 	 5 	 1
	 63 	 5 	 2
	 64 	 5 	 1
	 65 	 5 	 1
	 66 	 5 	 1
	 67 	 5 	 1
	 68 	 5 	 1
	 69 	 5 	 1
	 70 	 5 	 1
	 71 	 1 	 20
	 72 	 2 	 73
	 73 	 3 	 3
	 74 	 4 	 12
	 75 	 5 	 2
	 76 	 6 	 1
	 77 	 6 	 9
	 78 	 6 	 1
	 79 	 6 	 6
	 80 	 6 	 2
	 81 	 6 	 2
	 82 	 6 	 2
	 83 	 6 	 3
	 84 	 6 	 3
	 85 	 1 	 6
	 86 	 2 	 22
	 87 	 3 	 1
	 88 	 4 	 1
	 89 	 5 	 1
	 90 	 6 	 2
	 91 	 7 	 1
	 92 	 7 	 3
	 93 	 7 	 2
	 94 	 7 	 1
	 95 	 7 	 1
	 96 	 7 	 1
	 97 	 7 	 1
	 98 	 7 	 2
	 99 	 1 	 7
	 100 	 2 	 59
	 101 	 3 	 14
	 102 	 4 	 2
	 103 	 5 	 2
	 104 	 6 	 11
	 105 	 7 	 1
	 106 	 8 	 3
	 107 	 8 	 2
	 108 	 8 	 1
	 109 	 8 	 2
	 110 	 8 	 2
	 111 	 8 	 3
	 112 	 8 	 6
	 113 	 1 	 6
	 114 	 2 	 3
	 115 	 3 	 2
	 116 	 4 	 1
	 117 	 5 	 1
	 118 	 6 	 2
	 119 	 7 	 4
	 120 	 8 	 3
	 121 	 9 	 3
	 122 	 9 	 1
	 123 	 9 	 3
	 124 	 9 	 1
	 125 	 9 	 2
	 126 	 9 	 3
	 127 	 1 	 7
	 128 	 2 	 24
	 129 	 3 	 2
	 130 	 4 	 3
	 131 	 5 	 1
	 132 	 6 	 7
	 133 	 7 	 3
	 134 	 8 	 3
	 135 	 9 	 3
	 136 	 10 	 5
	 137 	 10 	 13
	 138 	 10 	 10
	 139 	 10 	 12
	 140 	 10 	 7
	 141 	 1 	 3
	 142 	 2 	 10
	 143 	 3 	 2
	 144 	 4 	 2
	 145 	 5 	 1
	 146 	 6 	 3
	 147 	 7 	 2
	 148 	 8 	 2
	 149 	 9 	 1
	 150 	 10 	 5
	 151 	 11 	 3
	 152 	 11 	 7
	 153 	 11 	 4
	 154 	 11 	 2
	 155 	 1 	 9
	 156 	 2 	 13
	 157 	 3 	 2
	 158 	 4 	 2
	 159 	 5 	 2
	 160 	 6 	 2
	 161 	 7 	 1
	 162 	 8 	 2
	 163 	 9 	 4
	 164 	 10 	 15
	 165 	 11 	 3
	 166 	 12 	 1
	 167 	 12 	 1
	 168 	 12 	 10
	 169 	 1 	 4
	 170 	 2 	 7
	 171 	 3 	 2
	 172 	 4 	 19
	 173 	 5 	 2
	 174 	 6 	 2
	 175 	 7 	 1
	 176 	 8 	 2
	 177 	 9 	 1
	 178 	 10 	 11
	 179 	 11 	 8
	 180 	 12 	 2
	 181 	 13 	 4
	 182 	 13 	 2
	 183 	 1 	 19
	 184 	 2 	 5
	 185 	 3 	 1
	 186 	 4 	 2
	 187 	 5 	 1
	 188 	 6 	 3
	 189 	 7 	 1
	 190 	 8 	 3
	 191 	 9 	 2
	 192 	 10 	 14
	 193 	 11 	 5
	 194 	 12 	 2
	 195 	 13 	 4
	 196 	 14 	 1
	 197 	 1 	 9
	 198 	 2 	 23
	 199 	 3 	 6
	 200 	 4 	 3
	 201 	 5 	 2
	 202 	 6 	 4
	 203 	 7 	 3
	 204 	 8 	 7
	 205 	 9 	 3
	 206 	 10 	 8
	 207 	 11 	 2
	 208 	 12 	 12
	 209 	 13 	 3
	 210 	 14 	 2
;
 param:		 c 	 cap := 
1 	 73 	 534 
2 	 44 	 322 
3 	 95 	 694 
4 	 98 	 716 
5 	 38 	 278 
6 	 80 	 585 
7 	 69 	 505 
8 	 49 	 358 
9 	 55 	 402 
10 	 59 	 431 
11 	 77 	 563 
12 	 71 	 519 
13 	 96 	 702 
14 	 56 	 410 
15 	 31 	 227 ;
 
 param g := 
 1 	  6 	 5 
 6 	  1 	 3 
 1 	  7 	 2 
 7 	  1 	 5 
 1 	  8 	 5 
 8 	  1 	 4 
 2 	  3 	 2 
 3 	  2 	 3 
 2 	  5 	 4 
 5 	  2 	 2 
 2 	  6 	 2 
 6 	  2 	 3 
 3 	  5 	 5 
 5 	  3 	 4 
 3 	  8 	 5 
 8 	  3 	 3 
 4 	  5 	 2 
 5 	  4 	 4 
 4 	  6 	 3 
 6 	  4 	 3 
 6 	  13 	 4 
 13 	  6 	 3 
 7 	  10 	 5 
 10 	  7 	 4 
 7 	  14 	 5 
 14 	  7 	 2 
 8 	  9 	 3 
 9 	  8 	 2 
 8 	  15 	 3 
 15 	  8 	 5 
 9 	  10 	 4 
 10 	  9 	 3 
 9 	  12 	 5 
 12 	  9 	 4 
 9 	  15 	 3 
 15 	  9 	 4 
 10 	  12 	 3 
 12 	  10 	 2 
 11 	  13 	 5 
 13 	  11 	 4 
 11 	  14 	 5 
 14 	  11 	 3 
 13 	  14 	 4 
 14 	  13 	 5 
;
