
 param nb_n := 27; #number of nodes


 set A:= 
	 1 2
	 2 1
	 2 3
	 3 2
	 3 4
	 4 3
	 4 5
	 5 4
	 5 6
	 6 5
	 6 7
	 7 6
	 7 8
	 8 7
	 8 9
	 9 8
	 9 10
	 10 9
	 9 12
	 12 9
	 10 12
	 12 10
	 11 12
	 12 11
	 10 11
	 11 10
	 11 26
	 26 11
	 25 26
	 26 25
	 23 25
	 25 23
	 24 25
	 25 24
	 23 24
	 24 23
	 22 24
	 24 22
	 23 27
	 27 23
	 22 23
	 23 22
	 21 22
	 22 21
	 1 21
	 21 1
	 20 21
	 21 20
	 1 20
	 20 1
	 20 22
	 22 20
	 2 20
	 20 2
	 20 27
	 27 20
	 22 27
	 27 22
	 19 20
	 20 19
	 19 27
	 27 19
	 4 19
	 19 4
	 18 19
	 19 18
	 16 19
	 19 16
	 19 24
	 24 19
	 16 24
	 24 16
	 16 26
	 26 16
	 15 16
	 16 15
	 11 15
	 15 11
	 13 15
	 15 13
	 16 17
	 17 16
	 16 18
	 18 16
	 17 18
	 18 17
	 5 18
	 18 5
	 14 17
	 17 14
	 5 14
	 14 5
	 6 14
	 14 6
	 7 14
	 14 7
	 13 17
	 17 13
	 12 13
	 13 12
	 24 27
	 27 24
;

 param uu:= 1272;

 param nb_d:= 702; # number of demands

 param : o d := 
	 1 	 1 	 10
	 2 	 1 	 11
	 3 	 1 	 11
	 4 	 1 	 8
	 5 	 1 	 2
	 6 	 1 	 12
	 7 	 1 	 14
	 8 	 1 	 7
	 9 	 1 	 6
	 10 	 1 	 1
	 11 	 1 	 7
	 12 	 1 	 10
	 13 	 1 	 2
	 14 	 1 	 12
	 15 	 1 	 11
	 16 	 1 	 1
	 17 	 1 	 11
	 18 	 1 	 3
	 19 	 1 	 14
	 20 	 1 	 2
	 21 	 1 	 6
	 22 	 1 	 7
	 23 	 1 	 5
	 24 	 1 	 11
	 25 	 1 	 3
	 26 	 1 	 8
	 27 	 1 	 6
	 28 	 1 	 5
	 29 	 1 	 14
	 30 	 1 	 12
	 31 	 1 	 13
	 32 	 1 	 13
	 33 	 1 	 10
	 34 	 1 	 9
	 35 	 1 	 1
	 36 	 1 	 14
	 37 	 1 	 7
	 38 	 1 	 13
	 39 	 1 	 6
	 40 	 1 	 9
	 41 	 1 	 12
	 42 	 1 	 1
	 43 	 1 	 2
	 44 	 1 	 3
	 45 	 1 	 2
	 46 	 1 	 11
	 47 	 1 	 3
	 48 	 1 	 11
	 49 	 1 	 7
	 50 	 1 	 5
	 51 	 1 	 11
	 52 	 1 	 14
	 53 	 2 	 4
	 54 	 2 	 6
	 55 	 2 	 13
	 56 	 2 	 13
	 57 	 2 	 14
	 58 	 2 	 13
	 59 	 2 	 12
	 60 	 2 	 12
	 61 	 2 	 11
	 62 	 2 	 8
	 63 	 2 	 4
	 64 	 2 	 14
	 65 	 2 	 7
	 66 	 2 	 11
	 67 	 2 	 11
	 68 	 2 	 10
	 69 	 2 	 4
	 70 	 2 	 9
	 71 	 2 	 5
	 72 	 2 	 4
	 73 	 2 	 11
	 74 	 2 	 9
	 75 	 2 	 9
	 76 	 2 	 10
	 77 	 2 	 9
	 78 	 2 	 7
	 79 	 2 	 11
	 80 	 2 	 6
	 81 	 2 	 10
	 82 	 2 	 8
	 83 	 2 	 11
	 84 	 2 	 5
	 85 	 2 	 4
	 86 	 2 	 6
	 87 	 2 	 3
	 88 	 2 	 14
	 89 	 2 	 11
	 90 	 2 	 14
	 91 	 2 	 11
	 92 	 2 	 1
	 93 	 2 	 10
	 94 	 2 	 13
	 95 	 2 	 1
	 96 	 2 	 11
	 97 	 2 	 6
	 98 	 2 	 8
	 99 	 2 	 5
	 100 	 2 	 1
	 101 	 2 	 10
	 102 	 2 	 11
	 103 	 3 	 2
	 104 	 3 	 3
	 105 	 3 	 3
	 106 	 3 	 14
	 107 	 3 	 4
	 108 	 3 	 9
	 109 	 3 	 10
	 110 	 3 	 9
	 111 	 3 	 10
	 112 	 3 	 8
	 113 	 3 	 7
	 114 	 3 	 13
	 115 	 3 	 2
	 116 	 3 	 7
	 117 	 3 	 5
	 118 	 3 	 2
	 119 	 3 	 7
	 120 	 3 	 9
	 121 	 3 	 8
	 122 	 3 	 12
	 123 	 3 	 4
	 124 	 3 	 14
	 125 	 3 	 9
	 126 	 3 	 7
	 127 	 3 	 3
	 128 	 3 	 11
	 129 	 3 	 3
	 130 	 3 	 14
	 131 	 3 	 10
	 132 	 3 	 14
	 133 	 3 	 7
	 134 	 3 	 12
	 135 	 3 	 10
	 136 	 3 	 10
	 137 	 3 	 12
	 138 	 3 	 14
	 139 	 3 	 13
	 140 	 3 	 8
	 141 	 3 	 14
	 142 	 3 	 8
	 143 	 3 	 12
	 144 	 3 	 6
	 145 	 3 	 4
	 146 	 3 	 3
	 147 	 3 	 9
	 148 	 3 	 12
	 149 	 3 	 13
	 150 	 3 	 9
	 151 	 4 	 4
	 152 	 4 	 11
	 153 	 4 	 9
	 154 	 4 	 1
	 155 	 4 	 1
	 156 	 4 	 4
	 157 	 4 	 11
	 158 	 4 	 3
	 159 	 4 	 2
	 160 	 4 	 13
	 161 	 4 	 14
	 162 	 4 	 5
	 163 	 4 	 6
	 164 	 4 	 13
	 165 	 4 	 11
	 166 	 4 	 7
	 167 	 4 	 7
	 168 	 4 	 10
	 169 	 4 	 11
	 170 	 4 	 13
	 171 	 4 	 12
	 172 	 4 	 12
	 173 	 4 	 7
	 174 	 4 	 13
	 175 	 4 	 6
	 176 	 4 	 10
	 177 	 4 	 1
	 178 	 4 	 6
	 179 	 4 	 6
	 180 	 4 	 10
	 181 	 4 	 11
	 182 	 4 	 8
	 183 	 4 	 10
	 184 	 4 	 1
	 185 	 4 	 11
	 186 	 4 	 9
	 187 	 4 	 2
	 188 	 4 	 11
	 189 	 4 	 14
	 190 	 4 	 7
	 191 	 4 	 14
	 192 	 4 	 9
	 193 	 4 	 9
	 194 	 4 	 9
	 195 	 4 	 4
	 196 	 4 	 9
	 197 	 5 	 3
	 198 	 5 	 3
	 199 	 5 	 4
	 200 	 5 	 5
	 201 	 5 	 9
	 202 	 5 	 7
	 203 	 5 	 12
	 204 	 5 	 3
	 205 	 5 	 10
	 206 	 5 	 12
	 207 	 5 	 3
	 208 	 5 	 8
	 209 	 5 	 4
	 210 	 5 	 5
	 211 	 5 	 4
	 212 	 5 	 9
	 213 	 5 	 7
	 214 	 5 	 14
	 215 	 5 	 7
	 216 	 5 	 8
	 217 	 5 	 7
	 218 	 5 	 14
	 219 	 5 	 14
	 220 	 5 	 14
	 221 	 5 	 7
	 222 	 5 	 4
	 223 	 5 	 4
	 224 	 5 	 12
	 225 	 5 	 3
	 226 	 5 	 4
	 227 	 5 	 12
	 228 	 5 	 7
	 229 	 5 	 13
	 230 	 5 	 11
	 231 	 5 	 7
	 232 	 5 	 8
	 233 	 5 	 6
	 234 	 5 	 14
	 235 	 5 	 6
	 236 	 5 	 12
	 237 	 5 	 10
	 238 	 5 	 3
	 239 	 5 	 7
	 240 	 5 	 10
	 241 	 6 	 14
	 242 	 6 	 2
	 243 	 6 	 4
	 244 	 6 	 10
	 245 	 6 	 14
	 246 	 6 	 7
	 247 	 6 	 10
	 248 	 6 	 12
	 249 	 6 	 9
	 250 	 6 	 5
	 251 	 6 	 12
	 252 	 6 	 1
	 253 	 6 	 2
	 254 	 6 	 3
	 255 	 6 	 14
	 256 	 6 	 14
	 257 	 6 	 9
	 258 	 6 	 1
	 259 	 6 	 14
	 260 	 6 	 6
	 261 	 6 	 9
	 262 	 6 	 7
	 263 	 6 	 2
	 264 	 6 	 9
	 265 	 6 	 12
	 266 	 6 	 4
	 267 	 6 	 3
	 268 	 6 	 8
	 269 	 6 	 1
	 270 	 6 	 2
	 271 	 6 	 13
	 272 	 6 	 5
	 273 	 6 	 9
	 274 	 6 	 5
	 275 	 6 	 4
	 276 	 6 	 8
	 277 	 6 	 8
	 278 	 6 	 3
	 279 	 6 	 14
	 280 	 6 	 13
	 281 	 6 	 6
	 282 	 6 	 1
	 283 	 7 	 3
	 284 	 7 	 4
	 285 	 7 	 3
	 286 	 7 	 1
	 287 	 7 	 8
	 288 	 7 	 1
	 289 	 7 	 14
	 290 	 7 	 7
	 291 	 7 	 4
	 292 	 7 	 11
	 293 	 7 	 8
	 294 	 7 	 4
	 295 	 7 	 6
	 296 	 7 	 5
	 297 	 7 	 14
	 298 	 7 	 7
	 299 	 7 	 9
	 300 	 7 	 9
	 301 	 7 	 11
	 302 	 7 	 4
	 303 	 7 	 13
	 304 	 7 	 2
	 305 	 7 	 2
	 306 	 7 	 3
	 307 	 7 	 5
	 308 	 7 	 5
	 309 	 7 	 3
	 310 	 7 	 9
	 311 	 7 	 8
