data;

param n := 20;

set E :=
	1 4
	1 7
	1 9
	1 10
	1 11
	1 13
	1 14
	1 16
	1 17
	1 19
	1 20
	2 5
	2 7
	2 14
	2 15
	2 17
	3 4
	3 6
	3 7
	3 11
	3 16
	3 19
	4 11
	4 13
	4 16
	4 19
	4 20
	5 15
	6 7
	6 12
	7 9
	7 11
	7 12
	7 14
	7 16
	7 17
	7 19
	8 9
	8 10
	8 14
	8 18
	9 10
	9 11
	9 14
	9 17
	9 18
	10 11
	10 14
	10 16
	10 17
	10 18
	11 13
	11 14
	11 16
	11 17
	11 19
	11 20
	12 17
	13 16
	13 19
	13 20
	14 15
	14 17
	16 17
	16 19
	16 20
	17 19
	19 20
;

param c :=
	1 1
	2 3
	3 2
	4 3
	5 8
	6 5
	7 3
	8 8
	9 7
	10 3
	11 6
	12 4
	13 1
	14 8
	15 7
	16 8
	17 4
	18 5
	19 9
	20 9
;

